ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z
11,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,12,2,11.35,-5.6,3.6
12,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,13,2,11.35,0.2,-1
13,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,14,2,11.35,0.2,1.3
14,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,15,2,11.35,0.2,3.6
15,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,16,2,11.35,6,-1
16,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,17,2,11.35,6,1.3
17,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,18,2,11.35,6,3.6
18,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,19,3,11.7,-5.85,-1
19,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,20,3,11.7,-5.85,1.3
20,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,21,3,11.7,-5.85,3.6
21,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,22,4,11.7,-5.6,3.9
22,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,23,4,11.7,0.2,3.9
23,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,24,4,11.7,6,3.9
24,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,25,5,11.7,6.25,-1
25,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,26,5,11.7,6.25,1.3
26,16.8,0.3364263,2.8,8.6,2.2,0.4,1.6,389.9,387.2,10,12,5,0.6,1,Superheated,37.9,-1,152,27,5,11.7,6.25,3.6
27,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,1,1,11.85,-5.9,-1.8
28,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,2,1,11.85,-5.9,5
29,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,3,1,11.85,-5.9,11.8
30,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,4,1,11.85,1.4,-1.8
31,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,5,1,11.85,1.4,5
32,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,6,1,11.85,1.4,11.8
33,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,7,1,11.85,8.7,-1.8
34,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,8,1,11.85,8.7,5
35,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,9,1,11.85,8.7,11.8
36,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,10,2,10.35,-5.9,-1.8
37,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,11,2,10.35,-5.9,5
38,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,12,2,10.35,-5.9,11.8
39,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,13,2,10.35,1.4,-1.8
40,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,14,2,10.35,1.4,5
41,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,15,2,10.35,1.4,11.8
42,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,16,2,10.35,8.7,-1.8
43,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,17,2,10.35,8.7,5
44,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,18,2,10.35,8.7,11.8
45,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,19,3,11.1,-6.15,-1.8
46,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,20,3,11.1,-6.15,5
47,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,21,3,11.1,-6.15,11.8
48,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,22,4,11.1,-5.9,12.1
49,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,23,4,11.1,1.4,12.1
50,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,24,4,11.1,8.7,12.1
51,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,25,5,11.1,8.95,-1.8
52,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,26,5,11.1,8.95,5
53,18.1,0.4116614,0.8,1.8,1.2,1.6,0.8,395.3,374,10,15,14,1.4,8,Subcooled,37.9,-1,152,27,5,11.1,8.95,11.8
54,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,1,1,14.55,-0.7,-0.5
55,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,2,1,14.55,-0.7,6.3
56,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,3,1,14.55,-0.7,13.1
57,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,4,1,14.55,1.6,-0.5
58,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,5,1,14.55,1.6,6.3
59,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,6,1,14.55,1.6,13.1
60,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,7,1,14.55,3.9,-0.5
61,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,8,1,14.55,3.9,6.3
62,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,9,1,14.55,3.9,13.1
63,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,10,2,12.25,-0.7,-0.5
64,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,11,2,12.25,-0.7,6.3
65,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,12,2,12.25,-0.7,13.1
66,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,13,2,12.25,1.6,-0.5
67,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,14,2,12.25,1.6,6.3
68,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,15,2,12.25,1.6,13.1
69,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,16,2,12.25,3.9,-0.5
70,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,17,2,12.25,3.9,6.3
71,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,18,2,12.25,3.9,13.1
72,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,19,3,13.4,-0.95,-0.5
73,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,20,3,13.4,-0.95,6.3
74,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,21,3,13.4,-0.95,13.1
75,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,22,4,13.4,-0.7,13.4
76,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,23,4,13.4,1.6,13.4
77,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,24,4,13.4,3.9,13.4
78,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,25,5,13.4,4.15,-0.5
79,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,26,5,13.4,4.15,6.3
80,14.3,0.6734,2.6,9.2,2,0.4,0.6,308.8,291.4,11,5,14,2.2,8,Subcooled,37.9,-1,152,27,5,13.4,4.15,13.1
81,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,1,1,17.65,-2.8,-1.7
82,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,2,1,17.65,-2.8,2.6
83,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,3,1,17.65,-2.8,6.9
84,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,4,1,17.65,4,-1.7
85,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,5,1,17.65,4,2.6
86,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,6,1,17.65,4,6.9
87,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,7,1,17.65,10.8,-1.7
88,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,8,1,17.65,10.8,2.6
89,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,9,1,17.65,10.8,6.9
90,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,10,2,15.95,-2.8,-1.7
91,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,11,2,15.95,-2.8,2.6
92,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,12,2,15.95,-2.8,6.9
93,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,13,2,15.95,4,-1.7
94,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,14,2,15.95,4,2.6
95,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,15,2,15.95,4,6.9
96,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,16,2,15.95,10.8,-1.7
97,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,17,2,15.95,10.8,2.6
98,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,18,2,15.95,10.8,6.9
99,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,19,3,16.8,-3.05,-1.7
100,16.1,0.7020649,2,7.4,0.6,1.8,0.2,438.4,346.2,15,14,9,1.6,15,Superheated,42.5,-42,96.7,20,3,16.8,-3.05,2.6
